code,date,number 1,number 2,number 3,number 4,number 5,number 6
659,14/12/2021,10,16,19,24,39,50
660,16/12/2021,19,24,30,41,43,49
661,18/12/2021,4,6,19,26,38,41
662,21/12/2021,23,25,28,49,52,54
663,23/12/2021,8,22,29,43,45,54
664,25/12/2021,6,8,23,25,33,35
665,28/12/2021,3,8,9,40,44,48
666,30/12/2021,9,25,27,32,37,46
667,01/01/2022,4,25,28,32,33,55
668,04/01/2022,11,17,22,28,39,49
669,06/01/2022,4,8,14,21,30,49
670,08/01/2022,6,17,37,41,48,50
671,11/01/2022,12,25,26,28,33,46
672,13/01/2022,7,12,17,26,37,46
673,15/01/2022,20,26,41,46,47,48
674,18/01/2022,6,15,16,33,41,43
675,20/01/2022,8,21,32,34,41,46
676,22/01/2022,2,6,16,29,37,42
677,25/01/2022,2,16,17,20,31,51
678,27/01/2022,1,26,31,36,40,46
679,29/01/2022,6,10,17,23,25,38
680,03/02/2022,13,18,22,35,42,43
681,05/02/2022,1,17,23,29,44,45
682,08/02/2022,12,15,21,28,32,40
683,10/02/2022,3,15,26,35,43,52
684,12/02/2022,4,8,12,42,44,51
685,15/02/2022,5,7,14,24,29,36
686,17/02/2022,5,24,40,42,46,54
687,19/02/2022,1,11,14,33,46,48
688,22/02/2022,9,16,19,23,25,39
689,24/02/2022,2,15,25,30,31,32
690,26/02/2022,5,8,30,36,49,51
691,01/03/2022,15,19,25,42,51,53
692,03/03/2022,4,10,16,25,26,43
693,05/03/2022,5,12,15,25,43,48
694,08/03/2022,3,23,25,39,47,48
695,10/03/2022,1,3,8,16,19,36
696,12/03/2022,12,16,18,26,30,45
697,15/03/2022,6,14,24,28,33,52
698,17/03/2022,1,6,12,21,37,49
699,19/03/2022,8,20,24,37,51,55
700,22/03/2022,1,14,18,28,47,49
701,24/03/2022,5,9,16,35,45,46
702,26/03/2022,1,6,16,30,34,55
703,29/03/2022,5,11,32,35,40,52
704,31/03/2022,5,24,34,39,42,49
705,02/04/2022,32,38,42,44,47,55
706,05/04/2022,5,18,26,36,43,44
707,07/04/2022,6,14,15,25,29,32
708,09/04/2022,2,3,19,28,42,45
709,12/04/2022,11,18,20,22,25,40
710,14/04/2022,1,5,9,34,37,45
711,16/04/2022,4,8,39,41,53,55
712,19/04/2022,2,7,13,28,29,34
713,21/04/2022,21,24,27,34,38,42
714,23/04/2022,3,27,36,41,49,55
715,26/04/2022,14,22,24,25,43,49
716,28/04/2022,8,24,25,32,37,44
717,30/04/2022,11,23,51,52,53,54
718,03/05/2022,1,22,38,48,49,53
719,05/05/2022,27,29,33,39,47,53
720,07/05/2022,15,32,33,36,43,46
721,10/05/2022,12,18,41,43,47,51
722,12/05/2022,9,18,24,43,44,50
723,14/05/2022,2,28,30,43,44,55
724,17/05/2022,11,17,25,29,45,48
725,19/05/2022,3,6,31,40,47,54
726,21/05/2022,19,32,38,40,45,48
727,24/05/2022,18,31,32,46,50,52
728,26/05/2022,4,30,32,39,41,53
729,28/05/2022,33,36,38,42,43,46
730,31/05/2022,4,10,15,16,47,51
731,02/06/2022,7,11,28,30,33,50
732,04/06/2022,3,17,27,30,34,49
733,07/06/2022,16,17,21,28,39,50
734,09/06/2022,30,31,35,43,48,50
735,11/06/2022,10,18,23,25,45,47
736,14/06/2022,2,15,26,32,35,36
737,16/06/2022,9,13,21,40,51,54
738,18/06/2022,6,27,43,44,45,47
739,21/06/2022,9,13,19,21,34,51
740,23/06/2022,10,22,23,34,46,54
741,25/06/2022,14,17,31,35,37,40
742,28/06/2022,5,22,30,32,38,55
743,30/06/2022,5,11,15,19,29,31
744,02/07/2022,6,26,39,40,46,47
745,05/07/2022,5,7,12,26,29,44
746,07/07/2022,18,24,32,43,48,55
747,09/07/2022,5,21,24,47,52,55
748,12/07/2022,12,13,24,25,39,41
749,14/07/2022,11,25,29,37,39,52
750,16/07/2022,6,13,18,27,34,46
751,19/07/2022,8,9,33,34,35,52
752,21/07/2022,2,20,33,45,51,55
753,23/07/2022,27,28,29,39,40,54
754,26/07/2022,5,8,9,13,14,47
755,28/07/2022,5,6,17,28,29,39
756,30/07/2022,1,4,24,35,44,47
757,02/08/2022,2,5,28,40,47,48
758,04/08/2022,8,9,20,41,48,54
759,06/08/2022,6,21,27,41,51,53
760,09/08/2022,9,10,36,41,51,55
761,11/08/2022,1,12,21,34,48,55
762,13/08/2022,19,28,29,30,33,36
763,16/08/2022,17,18,28,47,50,53
764,18/08/2022,23,27,31,37,38,42
765,20/08/2022,6,16,29,32,42,51
766,23/08/2022,13,21,31,41,44,45
767,25/08/2022,19,30,35,40,49,53
768,27/08/2022,1,5,7,10,25,48
769,30/08/2022,2,13,19,29,30,32
770,01/09/2022,4,14,18,39,50,53
771,03/09/2022,11,22,31,33,40,46
772,06/09/2022,1,5,27,43,52,54
773,08/09/2022,9,13,23,32,36,52
774,10/09/2022,2,8,15,19,35,38
775,13/09/2022,9,10,21,40,41,48
776,15/09/2022,3,8,19,30,41,52
777,17/09/2022,5,8,19,34,40,49
778,20/09/2022,8,27,32,43,53,54
779,22/09/2022,12,14,19,29,44,47
780,24/09/2022,1,4,5,17,42,47
781,27/09/2022,11,13,23,27,37,43
782,29/09/2022,15,32,33,37,42,54
783,01/10/2022,14,15,16,22,23,29
784,04/10/2022,5,11,12,22,43,45
785,06/10/2022,6,8,19,20,47,53
786,08/10/2022,11,17,23,34,41,51
787,11/10/2022,11,26,34,40,46,52
788,13/10/2022,12,13,43,48,51,52
789,15/10/2022,8,15,16,39,45,51
790,18/10/2022,6,30,36,39,44,46
791,20/10/2022,15,21,27,34,37,53
792,22/10/2022,17,19,35,42,51,52
793,25/10/2022,8,18,20,22,42,46
794,27/10/2022,1,7,10,17,19,30
795,29/10/2022,1,3,10,13,15,20
796,01/11/2022,3,9,20,23,31,54
797,03/11/2022,8,13,24,28,29,33
798,05/11/2022,10,19,22,25,47,53
799,08/11/2022,12,27,33,44,48,50
800,10/11/2022,8,11,14,27,38,45
801,12/11/2022,8,18,23,30,35,42
802,15/11/2022,4,20,26,36,47,51
803,17/11/2022,1,19,25,27,38,42
804,19/11/2022,3,15,22,39,46,48
805,22/11/2022,3,9,21,22,26,35
806,24/11/2022,4,6,18,27,52,53
807,26/11/2022,8,23,24,48,49,52
808,29/11/2022,2,13,16,18,41,42
809,01/12/2022,11,14,29,31,52,54
810,03/12/2022,16,17,27,48,52,53
811,06/12/2022,1,11,25,44,45,46
812,08/12/2022,6,30,36,41,49,55
813,10/12/2022,2,12,13,18,33,44
814,13/12/2022,10,22,31,37,41,52
815,15/12/2022,2,25,38,50,51,55
816,17/12/2022,1,2,29,34,41,42
817,20/12/2022,2,6,9,20,31,35
818,22/12/2022,14,26,35,43,45,48
819,24/12/2022,5,19,22,23,30,44
820,27/12/2022,11,12,13,14,23,55
821,29/12/2022,6,8,33,37,38,51
822,31/12/2022,10,15,36,42,45,52
823,03/01/2023,9,13,24,43,47,48
824,05/01/2023,5,12,34,37,47,49
825,07/01/2023,3,4,9,15,33,54
826,10/01/2023,5,12,14,19,46,51
827,12/01/2023,5,14,37,45,47,55
828,14/01/2023,5,17,24,30,43,53
829,17/01/2023,1,9,20,36,44,50
830,19/01/2023,3,21,32,33,38,52
831,24/01/2023,3,5,10,12,29,30
832,26/01/2023,8,15,18,20,33,41
833,28/01/2023,9,22,23,29,38,47
834,31/01/2023,10,11,31,32,38,52
835,02/02/2023,3,10,23,29,34,53
836,04/02/2023,2,6,8,27,41,46
837,07/02/2023,6,27,29,32,39,52
838,09/02/2023,1,10,29,30,49,50
839,11/02/2023,4,13,45,48,52,54
840,14/02/2023,1,9,33,37,43,45
841,16/02/2023,1,5,7,8,20,22
842,18/02/2023,11,23,26,29,43,50
843,21/02/2023,4,12,15,21,30,44
844,23/02/2023,12,16,29,31,39,48
845,25/02/2023,1,2,14,21,38,51
846,28/02/2023,2,13,14,30,43,55
847,02/03/2023,1,3,23,24,43,48
848,04/03/2023,9,13,23,36,38,54
849,07/03/2023,8,22,25,27,39,50
850,09/03/2023,12,22,28,34,53,54
851,11/03/2023,13,23,25,30,35,44
852,14/03/2023,14,15,18,20,27,35
853,16/03/2023,6,23,34,48,50,55
854,18/03/2023,18,24,32,33,51,53
855,21/03/2023,7,17,31,43,45,49
856,23/03/2023,4,7,22,33,40,49
857,25/03/2023,17,18,28,40,49,54
858,28/03/2023,6,21,24,41,50,53
859,30/03/2023,6,11,14,21,30,32
860,01/04/2023,12,34,39,44,49,55
861,04/04/2023,13,28,41,42,47,51
862,06/04/2023,7,10,12,33,52,54
863,08/04/2023,17,33,36,46,50,52
864,11/04/2023,10,14,16,18,37,49
865,13/04/2023,22,26,28,37,39,48
866,15/04/2023,1,34,35,36,42,43
867,18/04/2023,17,18,30,40,51,55
868,20/04/2023,7,11,32,35,42,51
869,22/04/2023,9,18,23,24,48,52
870,25/04/2023,6,10,19,23,25,28
871,27/04/2023,8,28,38,39,41,45
872,29/04/2023,2,9,12,24,41,53
873,02/05/2023,4,11,18,25,33,45
874,04/05/2023,13,30,32,35,45,52
875,06/05/2023,1,11,22,28,34,42
876,09/05/2023,7,9,13,22,44,47
877,11/05/2023,1,3,19,33,34,51
878,13/05/2023,22,24,35,43,45,54
879,16/05/2023,19,24,30,34,40,44
880,18/05/2023,13,14,21,23,30,41
881,20/05/2023,1,14,21,36,48,53
882,23/05/2023,26,27,35,36,47,54
883,25/05/2023,15,16,19,31,33,46
884,27/05/2023,4,6,8,18,39,43
885,30/05/2023,1,14,24,28,40,46
886,01/06/2023,3,18,40,41,46,47
887,03/06/2023,23,28,29,36,38,41
888,06/06/2023,1,14,23,27,44,50
889,08/06/2023,3,36,38,43,51,53
890,10/06/2023,10,17,27,32,35,41
891,13/06/2023,4,14,18,27,47,50
892,15/06/2023,10,11,25,39,46,55
893,17/06/2023,7,13,23,34,38,40
894,20/06/2023,7,23,26,31,35,53
895,22/06/2023,2,11,14,35,43,51
896,24/06/2023,8,9,16,20,50,53
897,27/06/2023,2,12,15,16,27,28
898,29/06/2023,1,11,12,28,46,54
899,01/07/2023,13,33,36,38,45,50
900,04/07/2023,4,13,14,23,33,50
901,06/07/2023,7,12,29,39,46,55
902,08/07/2023,8,11,23,43,44,48
