code,date,number 1,number 2,number 3,number 4,number 5,number 6
152,21/07/2018,7,31,33,37,46,52
153,24/07/2018,11,18,34,37,50,53
154,26/07/2018,21,24,33,37,40,46
155,28/07/2018,11,16,22,25,30,40
156,31/07/2018,1,5,27,31,47,50
157,02/08/2018,6,11,16,17,41,55
158,04/08/2018,11,12,24,32,41,48
159,07/08/2018,3,9,15,20,39,49
160,09/08/2018,24,29,32,33,49,55
161,11/08/2018,16,17,31,33,42,44
162,14/08/2018,29,30,36,38,45,52
163,16/08/2018,6,10,34,46,48,51
164,18/08/2018,7,33,36,39,51,55
165,21/08/2018,9,12,14,23,32,46
166,23/08/2018,14,18,27,38,39,53
167,25/08/2018,10,11,15,32,40,48
168,28/08/2018,2,10,15,31,39,48
169,30/08/2018,5,22,28,42,49,54
170,01/09/2018,2,8,20,21,28,36
171,04/09/2018,8,18,20,29,34,37
172,06/09/2018,4,11,15,21,24,27
173,08/09/2018,9,11,12,24,35,43
174,11/09/2018,13,17,28,42,45,49
175,13/09/2018,4,6,7,26,40,44
176,15/09/2018,2,5,28,30,46,50
177,18/09/2018,8,21,32,43,48,53
178,20/09/2018,3,32,35,46,47,49
179,22/09/2018,1,8,17,28,40,50
180,25/09/2018,2,3,6,13,14,17
181,27/09/2018,8,12,29,35,51,54
182,29/09/2018,3,7,12,32,34,55
183,02/10/2018,3,7,28,32,33,37
184,04/10/2018,3,9,12,17,34,42
185,06/10/2018,5,6,16,42,48,51
186,09/10/2018,10,27,46,50,51,55
187,11/10/2018,5,16,17,37,46,49
188,13/10/2018,12,21,23,44,47,48
189,16/10/2018,5,28,29,34,42,46
190,18/10/2018,1,11,22,34,42,47
191,20/10/2018,2,5,10,17,35,41
192,23/10/2018,1,3,6,13,21,30
193,25/10/2018,16,23,29,31,45,48
194,27/10/2018,8,9,15,21,44,49
195,30/10/2018,1,12,22,27,30,39
196,01/11/2018,3,11,15,42,44,54
197,03/11/2018,14,17,20,23,25,45
198,06/11/2018,19,22,23,43,47,53
199,08/11/2018,22,28,31,39,52,53
200,10/11/2018,3,5,19,22,29,39
201,13/11/2018,3,25,26,32,41,47
202,15/11/2018,13,16,21,40,49,52
203,17/11/2018,12,22,26,29,45,47
204,20/11/2018,9,23,33,40,44,49
205,22/11/2018,17,22,24,28,37,44
206,24/11/2018,3,10,11,25,40,54
207,27/11/2018,3,5,23,28,35,44
208,29/11/2018,10,23,27,42,51,52
209,01/12/2018,3,5,12,20,25,33
210,04/12/2018,10,13,16,23,30,49
211,06/12/2018,9,13,23,27,39,42
212,08/12/2018,3,6,9,31,48,54
213,11/12/2018,1,5,11,37,39,44
214,13/12/2018,2,11,14,36,49,55
215,15/12/2018,14,17,49,52,53,55
216,18/12/2018,1,9,15,17,25,26
